Wall time,Step,Value
1571055581.1181939,9,2.287921905517578
1571055581.2731776,19,2.233696937561035
1571055581.4184532,29,2.1740872859954834
1571055581.5371745,39,2.0645275115966797
1571055581.6376848,49,2.043208122253418
1571055581.7612648,59,1.9938640594482422
1571055581.9054277,69,1.9904183149337769
1571055581.997607,79,2.0094785690307617
1571055582.109088,89,1.8273507356643677
1571055582.3203485,99,1.8356375694274902
1571055582.4274144,109,1.741628885269165
1571055582.5795,119,1.8407217264175415
1571055582.728008,129,1.8946020603179932
1571055582.8438795,139,1.954728364944458
1571055582.9450603,149,1.7901692390441895
1571055583.0883217,159,1.7502541542053223
1571055583.1991913,169,1.788194179534912
1571055583.2985084,179,1.6981419324874878
1571055583.3874128,189,1.6848644018173218
1571055583.5348742,199,1.783750295639038
1571055583.6783338,209,1.5818923711776733
1571055583.7795992,219,1.623703956604004
1571055583.9123738,229,1.5951234102249146
1571055584.0560858,239,1.77884840965271
1571055584.1714063,249,1.44843590259552
1571055584.3195205,259,1.5726122856140137
1571055584.448132,269,1.6889700889587402
1571055584.5710435,279,1.5851565599441528
1571055584.680868,289,1.6962251663208008
1571055584.790696,299,1.4919995069503784
1571055584.923822,309,1.6641539335250854
1571055585.047181,319,1.7014554738998413
1571055585.1788068,329,1.6246219873428345
1571055585.2848353,339,1.5538007020950317
1571055585.3793094,349,1.3995505571365356
1571055585.4507165,359,1.374484896659851
1571055585.5218503,369,1.748796820640564
1571055585.5799525,379,1.3443225622177124
1571055585.628215,389,1.4888243675231934
1571055587.1823382,399,1.4572328329086304
1571055587.2873538,409,1.7624166011810303
1571055587.478842,419,1.3566073179244995
1571055587.593123,429,1.4873573780059814
1571055587.7032437,439,1.494133710861206
1571055587.8160899,449,1.4303280115127563
1571055587.9222126,459,1.2890312671661377
1571055588.0252562,469,1.4136664867401123
1571055588.1558132,479,1.7230033874511719
1571055588.2985961,489,1.5429222583770752
1571055588.4103186,499,1.3451625108718872
1571055588.5413747,509,1.3125823736190796
1571055588.6816015,519,1.4216161966323853
1571055588.8448067,529,1.4125596284866333
1571055588.9829545,539,1.560788869857788
1571055589.1227407,549,1.4173177480697632
1571055589.2565033,559,1.4342936277389526
1571055589.3701758,569,1.3714078664779663
1571055589.522042,579,1.3872143030166626
1571055589.5878232,589,1.3609884977340698
1571055589.7067704,599,1.4928596019744873
1571055589.8239238,609,1.4217143058776855
1571055589.9686372,619,1.390866756439209
1571055590.0705626,629,1.3780138492584229
1571055590.1734183,639,1.422381043434143
1571055590.2707636,649,1.4166723489761353
1571055590.3456054,659,1.3042995929718018
1571055590.4914942,669,1.3596957921981812
1571055590.624998,679,1.2997255325317383
1571055590.7023025,689,1.3552255630493164
1571055590.7774165,699,1.2516041994094849
1571055590.8591518,709,1.4106565713882446
