Wall time,Step,Value
1571053916.0019364,9,2.2810683250427246
1571053916.0810156,19,2.1703858375549316
1571053916.1488242,29,2.197572946548462
1571053916.2030947,39,2.0606000423431396
1571053916.2860081,49,2.1123857498168945
1571053916.3393843,59,1.9708352088928223
1571053916.4406111,69,1.9201738834381104
1571053916.50854,79,2.0657644271850586
1571053916.6121721,89,1.8264702558517456
1571053916.706126,99,1.9845424890518188
1571053916.802284,109,1.9707499742507935
1571053916.8843365,119,1.9350507259368896
1571053917.01205,129,1.7975574731826782
1571053917.1205094,139,1.9594355821609497
1571053917.2436867,149,1.933901309967041
1571053917.4076755,159,1.765678882598877
1571053917.5292761,169,1.8855512142181396
1571053917.6865602,179,1.825360894203186
1571053917.9054852,189,1.8113410472869873
1571053918.0845883,199,1.8312779664993286
1571053918.2423267,209,1.8348745107650757
1571053918.3823428,219,1.8417903184890747
1571053918.4909267,229,1.7999876737594604
1571053918.661489,239,1.928329586982727
1571053918.7869332,249,1.8442367315292358
1571053918.9684784,259,1.808388590812683
1571053919.1645565,269,1.8305457830429077
1571053919.3225207,279,1.7844523191452026
1571053919.5296762,289,1.716617226600647
1571053919.7143862,299,1.7799909114837646
1571053919.904625,309,1.5288151502609253
1571053920.0899892,319,1.683955430984497
1571053920.2891102,329,1.7499356269836426
1571053920.417569,339,1.6635626554489136
1571053920.4774513,349,1.679598093032837
1571053920.5297906,359,1.8118925094604492
1571053920.5837903,369,1.8883042335510254
1571053920.634479,379,1.8654602766036987
1571053920.6822197,389,1.716008186340332
1571053921.9170783,399,1.6995030641555786
1571053921.9843736,409,1.5371849536895752
1571053922.1369128,419,1.66245436668396
1571053922.2471163,429,1.678624153137207
1571053922.316587,439,1.7303590774536133
1571053922.4049673,449,1.556946873664856
1571053922.5041473,459,1.678170919418335
1571053922.5777311,469,1.5305994749069214
1571053922.652319,479,1.845164179801941
1571053922.747754,489,1.5936123132705688
1571053922.8198438,499,1.602685809135437
1571053922.9399314,509,1.5230592489242554
1571053923.1716173,519,1.5742467641830444
1571053923.2747042,529,1.4815508127212524
1571053923.4261982,539,1.5692970752716064
1571053923.555402,549,1.6753636598587036
1571053923.7110744,559,1.6048154830932617
1571053923.8547406,569,1.57245671749115
1571053923.9571047,579,1.6218993663787842
1571053924.1027668,589,1.5435991287231445
1571053924.1973603,599,1.5007877349853516
1571053924.2656415,609,1.6438043117523193
1571053924.3394182,619,1.6452891826629639
1571053924.427372,629,1.397124171257019
1571053924.5052893,639,1.679805040359497
1571053924.5900261,649,1.6241192817687988
1571053924.6854541,659,1.5629172325134277
1571053924.8127575,669,1.615393877029419
1571053924.9941747,679,1.5522451400756836
1571053925.157472,689,1.7620121240615845
1571053925.2685559,699,1.6430600881576538
1571053925.3671868,709,1.3927794694900513
1571053925.470099,719,1.4843608140945435
1571053925.5849195,729,1.6365692615509033
1571053925.6367393,739,1.4562578201293945
1571053925.690905,749,1.4703809022903442
1571053925.7445574,759,1.6027835607528687
1571053925.7947428,769,1.8036060333251953
1571053925.8420193,779,1.6347053050994873
1571053928.5988746,789,1.62473726272583
1571053928.6930292,799,1.4965025186538696
1571053928.8387222,809,1.5965964794158936
1571053928.9215076,819,1.481821060180664
1571053929.0269904,829,1.4754142761230469
1571053929.1201565,839,1.4348771572113037
1571053929.251126,849,1.4317878484725952
1571053929.32111,859,1.4880083799362183
1571053929.4355373,869,1.473415732383728
1571053929.5176692,879,1.4344091415405273
1571053929.6181955,889,1.441115379333496
1571053929.7043514,899,1.4863108396530151
1571053929.823912,909,1.4347832202911377
1571053929.9356916,919,1.2852897644042969
1571053930.0247974,929,1.5397343635559082
1571053930.1266565,939,1.3694943189620972
1571053930.230078,949,1.4325220584869385
1571053930.3878913,959,1.306428074836731
1571053930.523533,969,1.393179178237915
1571053930.6111443,979,1.350010871887207
1571053930.6914616,989,1.3066015243530273
1571053930.7989683,999,1.4700502157211304
